sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-19 14:30:03 temp=47.7'C,"*450281.0#20[0009],OK,#9A450281,432,2024-08-19 14:29:53,STS,DC=51,PC=7603,LV=0.2,BV=3.6,BU=10.2,I=2.5,T=26.5,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B7>|",2024-08-19T14:30:05.223065Z,450281,2024-08-19T14:29:53Z,51,7603,0.2,3.6,10.2,2.5,26.5,0,0.4,0.06,-0.16,-0.84,47.7,2024-08-19T14:30:03Z
2024-08-19 14:45:03 temp=48.2'C,"*450281.0#20[0009],OK,#9A450281,433,2024-08-19 14:44:53,STS,DC=51,PC=7610,LV=0.0,BV=3.6,BU=10.2,I=2.3,T=26.6,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B0>|",2024-08-19T14:45:04.988065Z,450281,2024-08-19T14:44:53Z,51,7610,0,3.6,10.2,2.3,26.6,0,0.4,0.06,-0.16,-0.84,48.2,2024-08-19T14:45:03Z
2024-08-19 15:00:03 temp=48.7'C,"*450281.0#20[0009],OK,#9A450281,434,2024-08-19 14:59:53,STS,DC=51,PC=7610,LV=0.2,BV=3.6,BU=10.2,I=2.5,T=26.6,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BB>|",2024-08-19T15:00:04.767763Z,450281,2024-08-19T14:59:53Z,51,7610,0.2,3.6,10.2,2.5,26.6,0,0.4,0.06,-0.16,-0.84,48.7,2024-08-19T15:00:03Z
2024-08-19 15:15:03 temp=49.1'C,"*450281.0#20[0009],OK,#9A450281,435,2024-08-19 15:14:52,STS,DC=51,PC=7613,LV=0.2,BV=3.6,BU=10.2,I=2.3,T=26.7,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B5>|",2024-08-19T15:15:04.642899Z,450281,2024-08-19T15:14:52Z,51,7613,0.2,3.6,10.2,2.3,26.7,0,0.4,0.06,-0.16,-0.84,49.1,2024-08-19T15:15:03Z
2024-08-19 15:30:03 temp=49.6'C,"*450281.0#20[0009],OK,#9A450281,436,2024-08-19 15:29:53,STS,DC=51,PC=7672,LV=0.2,BV=3.6,BU=10.2,I=2.4,T=26.8,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#C4>|",2024-08-19T15:30:05.476207Z,450281,2024-08-19T15:29:53Z,51,7672,0.2,3.6,10.2,2.4,26.8,0,0.4,0.06,-0.16,-0.84,49.6,2024-08-19T15:30:03Z
2024-08-19 15:45:03 temp=50.1'C,"*450281.0#20[0009],OK,#9A450281,437,2024-08-19 15:44:53,STS,DC=51,PC=7752,LV=0.2,BV=3.6,BU=10.2,I=2.5,T=26.9,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#C3>|",2024-08-19T15:45:05.113902Z,450281,2024-08-19T15:44:53Z,51,7752,0.2,3.6,10.2,2.5,26.9,0,0.4,0.06,-0.16,-0.84,50.1,2024-08-19T15:45:03Z
2024-08-19 16:00:03 temp=49.1'C,"*450281.0#20[0009],OK,#9A450281,438,2024-08-19 15:59:53,STS,DC=51,PC=7783,LV=0.2,BV=3.6,BU=10.2,I=2.4,T=27.0,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#C5>|",2024-08-19T16:00:10.150519Z,450281,2024-08-19T15:59:53Z,51,7783,0.2,3.6,10.2,2.4,27,0,0.4,0.06,-0.16,-0.84,49.1,2024-08-19T16:00:03Z
2024-08-19 16:15:03 temp=51.6'C,"*450281.0#20[0009],OK,#9A450281,439,2024-08-19 16:14:53,STS,DC=51,PC=7791,LV=0.2,BV=3.6,BU=10.2,I=2.4,T=27.2,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BF>|",2024-08-19T16:15:04.903351Z,450281,2024-08-19T16:14:53Z,51,7791,0.2,3.6,10.2,2.4,27.2,0,0.4,0.06,-0.16,-0.84,51.6,2024-08-19T16:15:03Z
2024-08-19 16:30:03 temp=49.6'C,"*450281.0#20[0009],OK,#9A450281,440,2024-08-19 16:29:52,STS,DC=51,PC=7836,LV=0.2,BV=3.6,BU=10.2,I=2.5,T=27.4,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BF>|",2024-08-19T16:30:04.729513Z,450281,2024-08-19T16:29:52Z,51,7836,0.2,3.6,10.2,2.5,27.4,0,0.4,0.06,-0.16,-0.84,49.6,2024-08-19T16:30:03Z
2024-08-19 16:45:04 temp=51.1'C,"*450281.0#20[0009],OK,#9A450281,441,2024-08-19 16:44:53,STS,DC=51,PC=7843,LV=0.2,BV=3.6,BU=10.2,I=2.4,T=27.8,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#BF>|",2024-08-19T16:45:05.549567Z,450281,2024-08-19T16:44:53Z,51,7843,0.2,3.6,10.2,2.4,27.8,0,0.4,0.06,-0.16,-0.84,51.1,2024-08-19T16:45:04Z
